# host	dc02-pe-t137-n047
# kernel	5.15.152.bsk.15-amd64
# compiler	gcc 12.2.0
# flags	-std=c11 -O3 -march=native -mtune=native -DNDEBUG -flto -Wall -Wextra -Werror
# cpu	96
# cpu_topology	2 sockets; 64 cores/socket; SMT2; 256 logical CPUs; AMD EPYC 7Y83
# memory_node	3
# frequency_governor	performance
# file	/data27 local NVMe ext4
# repeats	7; small warm scan repeats=21
# source.mmap_pread_tradeoff_benchmark.c	bfc6a073f19bba3b0dc102f69c36de3ff50f566dbcf954b15759136ddf862889
# source.virtual_memory_benchmark_support.h	1a788082817c648a1d98ad15069768eca5e4db705523f4bd9d009bcc370074f1
# binary.mmap_pread_tradeoff_benchmark	713950d950f6f854ccb077081a3450a0c59422dd1343dccf93f701ef15282c54
case	metric	round_values
lookup-warm-2g-pread-reuse	perf_pread64	3672068
lookup-warm-2g-pread-reuse	perf_mmap	22
lookup-warm-2g-pread-reuse	perf_munmap	4
lookup-warm-2g-mmap-remap	ns_per_probe	333.883,238.932,225.919,231.311,229.907,245.087,235.351
lookup-warm-2g-mmap-remap	elapsed_ms	175.051,125.269,118.447,121.274,120.537,128.496,123.392
lookup-warm-2g-mmap-remap	logical_calls	2,2,2,2,2,2,2
lookup-warm-2g-mmap-remap	minor	32769,32769,32769,32769,32769,32769,32769
lookup-warm-2g-mmap-remap	major	0,0,0,0,0,0,0
lookup-warm-2g-mmap-remap	read_bytes	0,0,0,0,0,0,0
lookup-warm-2g-mmap-remap	checksum	65529581,65529581,65529581,65529581,65529581,65529581,65529581
lookup-warm-2g-mmap-remap	setup_us	0.371
lookup-warm-2g-mmap-remap	warmup_us	564920.034
lookup-warm-2g-mmap-remap	perf_aperf	4671256052
lookup-warm-2g-mmap-remap	perf_mperf	3521440093
lookup-warm-2g-mmap-remap	perf_tsc	3521365309
lookup-warm-2g-mmap-remap	perf_task_clock_ms	1441.11
lookup-warm-2g-mmap-remap	perf_context_switches	1995
lookup-warm-2g-mmap-remap	perf_page_faults	230280
lookup-warm-2g-mmap-remap	perf_minor_faults	230280
lookup-warm-2g-mmap-remap	perf_major_faults	0
lookup-warm-2g-mmap-remap	perf_pread64	2052
lookup-warm-2g-mmap-remap	perf_mmap	29
lookup-warm-2g-mmap-remap	perf_munmap	11
lookup-warm-2g-mmap-persistent	ns_per_probe	15.629,15.317,15.446,15.513,15.331,15.385,15.354
lookup-warm-2g-mmap-persistent	elapsed_ms	8.194,8.031,8.098,8.133,8.038,8.066,8.050
lookup-warm-2g-mmap-persistent	logical_calls	0,0,0,0,0,0,0
lookup-warm-2g-mmap-persistent	minor	0,0,0,0,0,0,0
lookup-warm-2g-mmap-persistent	major	0,0,0,0,0,0,0
lookup-warm-2g-mmap-persistent	read_bytes	0,0,0,0,0,0,0
lookup-warm-2g-mmap-persistent	checksum	65529581,65529581,65529581,65529581,65529581,65529581,65529581
lookup-warm-2g-mmap-persistent	setup_us	12.374
lookup-warm-2g-mmap-persistent	warmup_us	661367.835
lookup-warm-2g-mmap-persistent	perf_aperf	1625157156
lookup-warm-2g-mmap-persistent	perf_mperf	1225023653
lookup-warm-2g-mmap-persistent	perf_tsc	1224864296
lookup-warm-2g-mmap-persistent	perf_task_clock_ms	503.37
lookup-warm-2g-mmap-persistent	perf_context_switches	7313
lookup-warm-2g-mmap-persistent	perf_page_faults	33409
lookup-warm-2g-mmap-persistent	perf_minor_faults	25216
lookup-warm-2g-mmap-persistent	perf_major_faults	8193
lookup-warm-2g-mmap-persistent	perf_pread64	4
lookup-warm-2g-mmap-persistent	perf_mmap	22
lookup-warm-2g-mmap-persistent	perf_munmap	4
